"id","sku","name","breadcrumb","images","attribute_0_value","attribute_0_name","regular_price"
"57e4j","S000986","Ruột chăn Đông Vimatt Dày 200*220cm","Chăn gối nệm>  Sản Phẩm Elan>  Ruột-Chăn-Gối Elan","undefined//uploads/shops/elan/goi-om-hanvico_2.jpg,undefined//uploads/shops/elan/unnamed.jpg,undefined//uploads/shops/elan/goi-om-hanvico_2.jpg,undefined//uploads/shops/elan/unnamed.jpg","200x220cm Ruột Đông Vimatt","Kích thước","513.000 đ"
"xi58","S000985","Ruột Gối Ôm Elan 80x100","Chăn gối nệm>  Sản Phẩm Elan>  Ruột-Chăn-Gối Elan","undefined//uploads/shops/elan/goi-om-hanvico_1.jpg,undefined//uploads/shops/elan/om-elan.jpg,undefined//uploads/shops/elan/goi-om-hanvico_1.jpg,undefined//uploads/shops/elan/om-elan.jpg","80x100 cm","Kích thước","225.000 đ"
"cd8ze","S000984","Ruột Gối Tựa Elan 45x45cm","Chăn gối nệm>  Sản Phẩm Elan>  Ruột-Chăn-Gối Elan","undefined//uploads/shops/elan/tua-elan.jpeg,undefined//uploads/shops/elan/goi-om-hanvico.jpg,undefined//uploads/shops/elan/tua-elan.jpeg,undefined//uploads/shops/elan/goi-om-hanvico.jpg","45X45 CM Elan Vimatt","Kích thước","114.300 đ"
"cd8ze","S000984","Ruột Gối Tựa Elan 45x45cm","Chăn gối nệm>  Sản Phẩm Elan>  Ruột-Chăn-Gối Elan","undefined//uploads/shops/elan/tua-elan.jpeg,undefined//uploads/shops/elan/goi-om-hanvico.jpg,undefined//uploads/shops/elan/tua-elan.jpeg,undefined//uploads/shops/elan/goi-om-hanvico.jpg","45X45 CM Elan Alias","Kích thước","216.000 đ"
"xg6j","S000983","Ruột Gối Đầu Elan","Chăn gối nệm>  Sản Phẩm Elan>  Ruột-Chăn-Gối Elan","undefined//uploads/shops/elan/goi-om-hanvico.jpg,undefined//uploads/shops/elan/elan.jpeg,undefined//uploads/shops/elan/goi-om-hanvico.jpg,undefined//uploads/shops/elan/elan.jpeg","50x70 Elan Vimatt","Kích thước","129.600 đ"
"xg6j","S000983","Ruột Gối Đầu Elan","Chăn gối nệm>  Sản Phẩm Elan>  Ruột-Chăn-Gối Elan","undefined//uploads/shops/elan/goi-om-hanvico.jpg,undefined//uploads/shops/elan/elan.jpeg,undefined//uploads/shops/elan/goi-om-hanvico.jpg,undefined//uploads/shops/elan/elan.jpeg","50x70 Elan Alias","Kích thước","243.000 đ"
"xg6j","S000983","Ruột Gối Đầu Elan","Chăn gối nệm>  Sản Phẩm Elan>  Ruột-Chăn-Gối Elan","undefined//uploads/shops/elan/goi-om-hanvico.jpg,undefined//uploads/shops/elan/elan.jpeg,undefined//uploads/shops/elan/goi-om-hanvico.jpg,undefined//uploads/shops/elan/elan.jpeg","45x65 Elan Vimatt","Kích thước","119.700 đ"
"xg6j","S000983","Ruột Gối Đầu Elan","Chăn gối nệm>  Sản Phẩm Elan>  Ruột-Chăn-Gối Elan","undefined//uploads/shops/elan/goi-om-hanvico.jpg,undefined//uploads/shops/elan/elan.jpeg,undefined//uploads/shops/elan/goi-om-hanvico.jpg,undefined//uploads/shops/elan/elan.jpeg","45x65 Elan Alias","Kích thước","225.000 đ"
