"id","sku","name","description","short_description","breadcrumb","images","attribute_0_value","attribute_0_name","regular_price"
"ecqa","#G010","Cổng hoa G 010",,"
","Hoa cưới>Cổng hoa","https://hoatuoi360.com/contents/images/Products/cong-hoa/cong-hoa-G-010L.jpg","Lớn hơn (+30%)","Kích thước",26000000
"8soea","#G011","Cổng hoa G 011",,"
","Hoa cưới>Cổng hoa","https://hoatuoi360.com/contents/images/Products/cong-hoa/cong-hoa-G-011L.jpg","Bình thường","Kích thước",10000000
"8soea","#G011","Cổng hoa G 011",,"
","Hoa cưới>Cổng hoa","https://hoatuoi360.com/contents/images/Products/cong-hoa/cong-hoa-G-011L.jpg","Lớn hơn (+30%)","Kích thước",13000000
"ql7d","#G012","Cổng hoa G 012",,"
","Hoa cưới>Cổng hoa","https://hoatuoi360.com/contents/images/Products/cong-hoa/cong-hoa-G-012L.jpg","Bình thường","Kích thước",10000000
"ql7d","#G012","Cổng hoa G 012",,"
","Hoa cưới>Cổng hoa","https://hoatuoi360.com/contents/images/Products/cong-hoa/cong-hoa-G-012L.jpg","Lớn hơn (+30%)","Kích thước",13000000
"a3ysq","#G013","Cổng hoa G 013",,"
","Hoa cưới>Cổng hoa","https://hoatuoi360.com/contents/images/Products/cong-hoa/cong-hoa-G-013L.jpg","Bình thường","Kích thước",10000000
"a3ysq","#G013","Cổng hoa G 013",,"
","Hoa cưới>Cổng hoa","https://hoatuoi360.com/contents/images/Products/cong-hoa/cong-hoa-G-013L.jpg","Lớn hơn (+30%)","Kích thước",13000000
"a795","#G014","Cổng hoa G 014",,"
","Hoa cưới>Cổng hoa","https://hoatuoi360.com/contents/images/Products/cong-hoa/cong-hoa-G-014L.jpg","Bình thường","Kích thước",15000000
"a795","#G014","Cổng hoa G 014",,"
","Hoa cưới>Cổng hoa","https://hoatuoi360.com/contents/images/Products/cong-hoa/cong-hoa-G-014L.jpg","Lớn hơn (+30%)","Kích thước",19500000
"nyu3","#G015","Cổng hoa G 015",,"
","Hoa cưới>Cổng hoa","https://hoatuoi360.com/contents/images/Products/cong-hoa/cong-hoa-G-015L.jpg","Bình thường","Kích thước",20000000
"nyu3","#G015","Cổng hoa G 015",,"
","Hoa cưới>Cổng hoa","https://hoatuoi360.com/contents/images/Products/cong-hoa/cong-hoa-G-015L.jpg","Lớn hơn (+30%)","Kích thước",26000000
