"id","sku","name","short_description","breadcrumb","images","attribute_0_value","attribute_0_name","regular_price","description"
"886i2h","#B086","Hoa Bó B 086","
","Hoa bó","https://hoatuoi360.com/contents/images/Products/hoa-bo/Hoa-Bo-B-086.jpg","Bình thường","Kích thước",500000,
"886i2h","#B086","Hoa Bó B 086","
","Hoa bó","https://hoatuoi360.com/contents/images/Products/hoa-bo/Hoa-Bo-B-086.jpg","Lớn hơn (+30%)","Kích thước",650000,
"86ln7","#B18002","Hoa Bó B 18002","
<p>Món quà hoa <strong>Mặn Mà</strong> gồm 11 Bông Hồng đỏ cùng các loại hoa lá phụ liệu khác.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-bo/b%2018002.jpg","Bình thường","Kích thước",500000,"<p style=""margin-left:9.0pt;""><strong>MẶN MÀ</strong></p>
<p style=""margin-left:9.0pt;"">Hoa Hồng đỏ từ lâu đã tượng trưng cho một tình yêu mãnh liệt và đậm đà bày tỏ sự hạnh phúc vinh dự. Trong các mối quan hệ của các cặp đôi thì một bó Hoa Hồng đỏ sẽ thể hiện một khởi đầu lãng mạn và một tình yêu bền vững vượt thời gian.</p>
<p style=""margin-left:9.0pt;"">Hiện nay, việc tặng hoa ngày càng được phổ biến, người ta không chỉ tặng hoa hồng đỏ đơn thuần để thể hiện tình cảm nam nữ mà còn thể hiện tình cảm mặn mà không bờ bến đối với những người ta dành hết tình cảm yêu thương như mẹ, chị, em,… trong những dịp lễ đặc biệt như dịp Sinh nhật, Ngày Phụ Nữ, Chúc mừng,...</p>
<p style=""margin-left:9.0pt;"">&nbsp;</p>
"
"86ln7","#B18002","Hoa Bó B 18002","
<p>Món quà hoa <strong>Mặn Mà</strong> gồm 11 Bông Hồng đỏ cùng các loại hoa lá phụ liệu khác.</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-bo/b%2018002.jpg","Lớn hơn (+30%)","Kích thước",650000,"<p style=""margin-left:9.0pt;""><strong>MẶN MÀ</strong></p>
<p style=""margin-left:9.0pt;"">Hoa Hồng đỏ từ lâu đã tượng trưng cho một tình yêu mãnh liệt và đậm đà bày tỏ sự hạnh phúc vinh dự. Trong các mối quan hệ của các cặp đôi thì một bó Hoa Hồng đỏ sẽ thể hiện một khởi đầu lãng mạn và một tình yêu bền vững vượt thời gian.</p>
<p style=""margin-left:9.0pt;"">Hiện nay, việc tặng hoa ngày càng được phổ biến, người ta không chỉ tặng hoa hồng đỏ đơn thuần để thể hiện tình cảm nam nữ mà còn thể hiện tình cảm mặn mà không bờ bến đối với những người ta dành hết tình cảm yêu thương như mẹ, chị, em,… trong những dịp lễ đặc biệt như dịp Sinh nhật, Ngày Phụ Nữ, Chúc mừng,...</p>
<p style=""margin-left:9.0pt;"">&nbsp;</p>
"
"0mwe","#B118","Hoa bó B 118","
<p>Sản phẩm gồm 1 Hoa Hồng Ecuador cùng các phụ liệu khác.</p>
","Hoa theo chủ đề>Ngày Phụ Nữ Việt Nam 20/10","https://hoatuoi360.com/contents/images/Products/hoa-bo/B%20118.jpg","Bình thường","Kích thước",150000,"<p style=""margin-left:9.0pt;""><strong>NGỌC TRAI</strong></p>
<p style=""margin-left:9.0pt;"">Ecuador là một quốc gia thuộc Đông Nam Mĩ, giáp với Thái Bình Dương và gần đường xích đạo, có khí hậu rất thuận lợi cho việc trồng và sản xuất hoa hồng. Hoa hồng Ecuador sẵn sàng đánh bật các loài hoa hồng khác với chiều cao khủng của nó, một cây hoa hồng Ecuador có chiều cao từ 80 – 150cm.</p>
<p style=""margin-left:9.0pt;"">Với sắc đỏ nồng nàn, lá dày và độ tỏa bông rậm, bông hoa to, chỉ cần 1 bông Ecuador cũng đủ tạo nên sự nổi bật giữa các cành lá phụ, như viên ngọc trai sáng lấp lánh dưới đáy đại dương. Bó Ecuador một bông mang đến thông điệp tình yêu thương duy nhất, không chỉ gửi gắm tình cảm chân thật của chàng trai đối với cô gái, mà hơn thế, nó còn là món quà ý nghĩa gửi đến cha mẹ, bạn bè hay tình yêu mến thầy cô trong những dịp đặc biệt.</p>
"
"0mwe","#B118","Hoa bó B 118","
<p>Sản phẩm gồm 1 Hoa Hồng Ecuador cùng các phụ liệu khác.</p>
","Hoa theo chủ đề>Ngày Phụ Nữ Việt Nam 20/10","https://hoatuoi360.com/contents/images/Products/hoa-bo/B%20118.jpg","Lớn hơn (+30%)","Kích thước",195000,"<p style=""margin-left:9.0pt;""><strong>NGỌC TRAI</strong></p>
<p style=""margin-left:9.0pt;"">Ecuador là một quốc gia thuộc Đông Nam Mĩ, giáp với Thái Bình Dương và gần đường xích đạo, có khí hậu rất thuận lợi cho việc trồng và sản xuất hoa hồng. Hoa hồng Ecuador sẵn sàng đánh bật các loài hoa hồng khác với chiều cao khủng của nó, một cây hoa hồng Ecuador có chiều cao từ 80 – 150cm.</p>
<p style=""margin-left:9.0pt;"">Với sắc đỏ nồng nàn, lá dày và độ tỏa bông rậm, bông hoa to, chỉ cần 1 bông Ecuador cũng đủ tạo nên sự nổi bật giữa các cành lá phụ, như viên ngọc trai sáng lấp lánh dưới đáy đại dương. Bó Ecuador một bông mang đến thông điệp tình yêu thương duy nhất, không chỉ gửi gắm tình cảm chân thật của chàng trai đối với cô gái, mà hơn thế, nó còn là món quà ý nghĩa gửi đến cha mẹ, bạn bè hay tình yêu mến thầy cô trong những dịp đặc biệt.</p>
"
"z4pt","#B109","Hoa Bó B 109","
","Hoa bó","https://hoatuoi360.com/contents/images/Products/hoa-bo/DSC_0248.jpg","Bình thường","Kích thước",500000,
"z4pt","#B109","Hoa Bó B 109","
","Hoa bó","https://hoatuoi360.com/contents/images/Products/hoa-bo/DSC_0248.jpg","Lớn hơn (+30%)","Kích thước",650000,
"k9i0o3","#B117","Hoa Bó B 117","
<p>Bó hồng Ecuador và hoa lá phụ...</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-bo/Hoa-Bo-B-116.jpg","Bình thường","Kích thước",1000000,
"k9i0o3","#B117","Hoa Bó B 117","
<p>Bó hồng Ecuador và hoa lá phụ...</p>
","Hoa theo chủ đề>Ngày Quốc Tế Phụ Nữ 8/3","https://hoatuoi360.com/contents/images/Products/hoa-bo/Hoa-Bo-B-116.jpg","Lớn hơn (+30%)","Kích thước",1300000,
